Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                1.15    0.00 36079968/36079968     child_of_geometry [21]
-----------------------------------------------
                1.15    0.00 36079968/36079968     find_lightest_geo_child [20]
[21]     4.9    1.15    0.00 36079968         child_of_geometry [21]
-----------------------------------------------
                0.00    0.00   25364/4256836     convenient_demod <cycle 2> [104]
                0.01    0.00   40432/4256836     unit_conflict [62]
                0.01    0.00   52372/4256836     hyper_res [3]
                0.36    0.00 2069334/4256836     forward_subsume [13]
                0.36    0.00 2069334/4256836     demod_cl [7]
[22]     3.2    0.74    0.00 4256836         free_context [22]
-----------------------------------------------
                0.15    0.53 2069334/2069334     clash [4]
[23]     2.9    0.15    0.53 2069334         build_hyper [23]
                0.30    0.17 2069333/2104178     apply [26]
                0.03    0.00 8268696/10338063     get_ilist [65]
                0.03    0.00 2069333/2112560     get_literal [69]
                0.00    0.00 2069334/2069349     get_clause [114]
-----------------------------------------------
                0.47    0.10 2089551/2089551     proc_gen [6]
[24]     2.4    0.47    0.10 2089551         renumber_vars [24]
                0.10    0.00 2089549/2089549     renum_vars_term [51]
-----------------------------------------------
                             7473051             next_term [25]
                0.01    0.00   52156/2347499     hyper_res [3]
                0.02    0.01  121716/2347499     unit_conflict [62]
                0.39    0.10 2173627/2347499     clash [4]
[25]     2.2    0.42    0.11 2347499+7473051 next_term [25]
                0.08    0.03 28238938/28238938     next_fpos [46]
                0.00    0.00  228846/228846      zap_prop_tree [181]
                             7473051             next_term [25]
-----------------------------------------------
                             16634277             apply [26]
                0.00    0.00   34845/2104178     clash [4]
                0.30    0.17 2069333/2104178     build_hyper [23]
[26]     2.0    0.30    0.18 2104178+16634277 apply [26]
                0.10    0.00 16634277/16794006     get_rel [49]
                0.08    0.00 18738455/20985043     get_term [54]
                             16634277             apply [26]
-----------------------------------------------
                             7823390             unify [27]
                0.01    0.00   43515/2113099     hyper_res [3]
                0.25    0.10 2069584/2113099     clash [4]
[27]     1.5    0.26    0.10 2113099+7823390 unify [27]
                0.07    0.00 3834084/3834084     occur_check [60]
                0.03    0.00 4216920/4216920     get_trail [71]
                0.00    0.00    8844/4216917     free_trail [89]
                             7823390             unify [27]
-----------------------------------------------
                0.34    0.00 2049117/2049117     forward_subsume [13]
[28]     1.5    0.34    0.00 2049117         canc_fs_pos [28]
                0.00    0.00 2049117/2049117     free_is_pos_list [176]
                0.00    0.00 2049117/2049117     free_fsub_pos [175]
-----------------------------------------------
                0.00    0.28       1/1           main [1]
[29]     1.2    0.00    0.28       1         read_all_input [29]
                0.00    0.28       1/1           read_a_file [30]
                0.00    0.00       8/20225       index_lits_all [52]
                0.00    0.00       1/1           auto_lex_order [140]
                0.00    0.00       4/8646        index_lits_clash [68]
                0.00    0.00       3/20220       weight_cl [78]
                0.00    0.00       2/2           imd_insert [157]
                0.00    0.00       8/13          get_list [158]
                0.00    0.00       2/2           check_input_demod [167]
                0.00    0.00       1/1           check_options [227]
                0.00    0.00       1/1           next_cl_num [236]
-----------------------------------------------
                0.00    0.28       1/1           read_all_input [29]
[30]     1.2    0.00    0.28       1         read_a_file [30]
                0.00    0.13       5/5           read_cl_list [40]
                0.00    0.11      13/32          read_term [31]
                0.00    0.04       1/1           read_wt_list [66]
                0.00    0.00       5/5           print_cl_list [130]
